contract_multiplier,de_listed_date,exchange,listed_date,margin_rate,market_tplus,maturity_date,order_book_id,round_lot,symbol,trading_hours,type,underlying_order_book_id,underlying_symbol
300,2011-07-15,CFFEX,2011-05-23,0.15,0,2011-07-15,IF1107,1,沪深1107,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2011-11-18,CFFEX,2011-09-19,0.15,0,2011-11-18,IF1111,1,沪深1111,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2011-12-16,CFFEX,2011-04-18,0.15,0,2011-12-16,IF1112,1,沪深1112,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2012-01-20,CFFEX,2011-11-21,0.15,0,2012-01-20,IF1201,1,沪深1201,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
10000,2017-12-08,CFFEX,2017-03-13,0.02,0,2017-12-08,TF1712,1,5年期国债1712,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2017-12-08,CFFEX,2017-03-13,0.04,0,2017-12-08,T1712,1,10年期国债1712,"09:16-11:30,13:01-15:15",Future,null,T
10000,2017-09-08,CFFEX,2016-12-12,0.04,0,2017-09-08,T1709,1,10年期国债1709,"09:16-11:30,13:01-15:15",Future,null,T
10000,2017-09-08,CFFEX,2016-12-12,0.02,0,2017-09-08,TF1709,1,5年期国债1709,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2017-06-09,CFFEX,2016-09-12,0.02,0,2017-06-09,TF1706,1,5年期国债1706,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2016-12-09,CFFEX,2016-03-14,0.012,0,2016-12-09,TF1612,1,国债1612,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2016-09-09,CFFEX,2015-12-14,0.02,0,2016-09-09,T1609,1,长债1609,"09:16-11:30,13:01-15:15",Future,null,T
10000,2016-06-13,CFFEX,2015-09-14,0.012,0,2016-06-13,TF1606,1,国债1606,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2016-06-13,CFFEX,2015-09-14,0.02,0,2016-06-13,T1606,1,长债1606,"09:16-11:30,13:01-15:15",Future,null,T
10000,2015-12-11,CFFEX,2015-03-16,0.012,0,2015-12-11,TF1512,1,国债1512,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2016-03-11,CFFEX,2015-06-15,0.012,0,2016-03-11,TF1603,1,国债1603,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2016-03-11,CFFEX,2015-03-20,0.02,0,2016-03-11,T1603,1,长债1603,"09:16-11:30,13:01-15:15",Future,null,T
10000,2015-09-11,CFFEX,2015-03-20,0.02,0,2015-09-11,T1509,1,长债1509,"09:16-11:30,13:01-15:15",Future,null,T
10000,2015-12-11,CFFEX,2015-03-20,0.02,0,2015-12-11,T1512,1,长债1512,"09:16-11:30,13:01-15:15",Future,null,T
10000,2016-09-09,CFFEX,2015-12-14,0.012,0,2016-09-09,TF1609,1,国债1609,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2015-09-11,CFFEX,2014-12-15,0.015,0,2015-09-11,TF1509,1,国债1509,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2015-06-12,CFFEX,2014-09-15,0.015,0,2015-06-12,TF1506,1,国债1506,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2015-03-13,CFFEX,2014-06-16,0.015,0,2015-03-13,TF1503,1,国债1503,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2014-12-12,CFFEX,2014-03-17,0.015,0,2014-12-12,TF1412,1,国债1412,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2014-09-12,CFFEX,2013-12-16,0.02,0,2014-09-12,TF1409,1,国债1409,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2014-06-13,CFFEX,2013-09-06,0.02,0,2014-06-13,TF1406,1,国债1406,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2014-03-14,CFFEX,2013-09-06,0.02,0,2014-03-14,TF1403,1,国债1403,"09:16-11:30,13:01-15:15",Future,null,TF
10000,2013-12-13,CFFEX,2013-09-06,0.03,0,2013-12-13,TF1312,1,国债1312,"09:16-11:30,13:01-15:15",Future,null,TF
300,2010-05-21,CFFEX,2010-04-16,0.15,0,2010-05-21,IF1005,1,沪深1005,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2010-06-18,CFFEX,2010-04-16,0.15,0,2010-06-18,IF1006,1,沪深1006,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2010-07-16,CFFEX,2010-05-24,0.15,0,2010-07-16,IF1007,1,沪深1007,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2010-08-20,CFFEX,2010-06-21,0.15,0,2010-08-20,IF1008,1,沪深1008,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2010-09-17,CFFEX,2010-04-16,0.15,0,2010-09-17,IF1009,1,沪深1009,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2010-10-15,CFFEX,2010-08-23,0.15,0,2010-10-15,IF1010,1,沪深1010,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2010-11-19,CFFEX,2010-09-20,0.15,0,2010-11-19,IF1011,1,沪深1011,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2010-12-17,CFFEX,2010-04-16,0.15,0,2010-12-17,IF1012,1,沪深1012,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2011-01-21,CFFEX,2010-11-22,0.15,0,2011-01-21,IF1101,1,沪深1101,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2011-02-18,CFFEX,2010-12-20,0.15,0,2011-02-18,IF1102,1,沪深1102,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
300,2011-04-15,CFFEX,2011-02-21,0.15,0,2011-04-15,IF1104,1,沪深1104,"09:31-11:30,13:01-15:00",Future,000300.XSHG,IF
