Sybmol,Exchange,Multiplier,Expirations
CU,SHFE,5,FGHJKMNQUVXZ
AL,SHFE,5,FGHJKMNQUVXZ
ZN,SHFE,5,FGHJKMNQUVXZ
PB,SHFE,5,FGHJKMNQUVXZ
NI,SHFE,1,FGHJKMNQUVXZ
SN,SHFE,1,FGHJKMNQUVXZ
AU,SHFE,1000,FGHJKMNQUVXZ
AG,SHFE,15,FGHJKMNQUVXZ
RB,SHFE,10,FGHJKMNQUVXZ
WR,SHFE,10,FGHJKMNQUVXZ
HC,SHFE,10,FGHJKMNQUVXZ
FU,SHFE,50,FGHJKMNQUVXZ
BU,SHFE,10,FGHJKMNQUVXZ
RU,SHFE,10,FHJKMNQUVZ
C,DCE,10,FHKNUX
CS,DCE,10,FHKNUX
A,DCE,10,FHKNUX
B,DCE,10,FHKNUX
M,DCE,10,FHKNQUXZ
Y,DCE,10,FHKNQUXZ
P,DCE,10,FGHJKMNQUVXZ
FB,DCE,500,FGHJKMNQUVXZ
BB,DCE,500,FGHJKMNQUVXZ
JD,DCE,10,FGHJKMNQUVXZ
L,DCE,5,FGHJKMNQUVXZ
V,DCE,5,FGHJKMNQUVXZ
PP,DCE,5,FGHJKMNQUVXZ
J,DCE,100,FGHJKMNQUVXZ
JM,DCE,60,FGHJKMNQUVXZ
I,DCE,100,FGHJKMNQUVXZ
WH,ZCE,20,FHKNUX
PM,ZCE,50,FHKNUX
CF,ZCE,5,FHKNUX
SR,ZCE,10,FHKNUX
OI,ZCE,10,FHKNUX
RI,ZCE,20,FHKNUX
RS,ZCE,10,NQUX
RM,ZCE,10,FHKNQUX
JR,ZCE,20,FHKNUX
LR,ZCE,20,FHKNUX
ZC,ZCE,100,FGHJKMNQUVXZ
PTA,ZCE,5,FGHJKMNQUVXZ
MA,ZCE,10,FGHJKMNQUVXZ
FG,ZCE,10,FGHJKMNQUVXZ
SF,ZCE,5,FGHJKMNQUVXZ
SM,ZCE,5,FGHJKMNQUVXZ
CY,ZCE,5,FGHJKMNQUVXZ
AP,ZCE,10,FHKNVXZ
IF,CFFEX,300,FGHJKMNQUVXZ
IC,CFFEX,200,FGHJKMNQUVXZ
IH,CFFEX,300,FGHJKMNQUVXZ
TF,CFFEX,10000,FMUZ
T,CFFEX,10000,FMUZ

